Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
2018-01-03,-0.00017434104857150245,0.015648804363320945,0.01879570284327836,0.012775310383486449,-0.003344856518614825,0.012001147034433446,0.008428353582018655,0.007977402327530525,0.007289738756641961,0.004293380292352378,0.017060999096224272,0.005212040516044736,-0.03393806322132897,0.00955263859560529,0.0010189842096082202,-0.002196269318133881,0.012573047561273754,0.01791409757390161,-0.0014231231045049864,0.0046537448963481776,0.019794042018585145,0.06581370203646242,-0.002625647541735887,-0.0012131126361307754,-0.023092961080970364,-0.010233112708571857,0.010490206785416678,0.009955154558275003,0.008723109249363148,0.019640074470045565
2018-01-04,0.004645172088148186,-0.005703146495411371,0.012041582055987154,0.004476012896857506,0.013087601775369384,-0.007765998278165598,0.013201638010694516,0.0028289842924920094,-0.003112571622593041,-0.0004454031116284396,0.0038844229481034276,0.00793613819550143,-0.01833837768568336,-7.122988702357169e-05,0.014325431593797289,0.014084893510296403,0.012937557273801303,-0.0018412267916735336,0.01620972951148736,0.008801532476298224,0.002828606044821047,0.005271466259774593,0.004925746784748997,0.007068440704199874,0.00929648715711795,-0.008289977599700404,0.004340539203468774,0.0037184038561390853,0.0009044977383625419,0.0013838832303738613
2018-01-05,0.011385481920479279,0.01740827805261147,0.011570762488063657,0.016162516530176196,0.004637173029655717,-0.007139123266134195,0.013310748668293737,0.013849935119532697,-0.0016392022362254899,-0.00543515162581254,0.013260170704532337,0.010445747302634034,0.006977642294299979,0.008253157042725556,-0.006419596327315591,-0.0002173205551984081,0.02073020113488311,0.013671402450887715,-0.001051565291313894,0.012398045434970584,0.021203172192687525,0.008474029084853063,0.0028731040317937495,0.0006581758622397071,0.0036837115988435087,0.006229740634655645,0.019068766632114986,0.023948791808382275,0.005927771302809415,-0.000806452538689606
2018-01-08,-0.003714425702495472,-0.016022260631911367,-0.001618663308975532,0.014424678832250848,-0.006923729684759294,0.0038879061204526444,0.007030572470239305,0.01037181168257284,0.004925595819198936,-0.014334297844862731,0.0035306754100306037,-0.002389767272195864,0.0,0.0012703123252102433,0.001476917485863094,-0.001519007219670132,0.0030230530440329417,0.0076531334505782755,-0.005790828279797822,0.001020353040455113,0.009809960902941839,0.03064060267364832,-0.005729911626851769,0.00526079004660418,0.0028841716658976058,0.06263821959024418,-0.01735684469406995,0.00403841223500212,0.014780587354898289,0.00449590758030638
2018-01-09,-0.00011474058341709448,0.0075384380897034475,0.008971053406505725,0.0046757095740346255,0.004979792791189208,-0.011618999603300484,0.002663979717315579,-0.006259359022114053,-0.005368435694289686,-0.0007272254858813332,-0.001274469415806334,0.00551966651379332,-0.025034016756039,0.015857237751168318,0.00506928488588132,0.0049994584321788604,0.0014438542972501356,-0.0021775633866157884,0.0024710573967099414,-0.0006796047744118683,-0.012921488744754073,-0.00027003512020473686,0.0007625352037086142,-0.007304863806430473,-0.0026069992271042786,-0.00808538113492141,0.004983375658486722,-0.0019271877704933882,-0.012006915408616092,-0.004245698590793046
2018-01-10,-0.00022969454833643432,-0.005486796792806725,0.0021960560729041845,0.0013012055442500614,0.00925029666621957,-0.00467003806621924,-0.003206566471659844,0.0055431736366884365,0.006414554250955051,-0.004275157313781586,-0.002381308058987175,-0.006732080359873827,-0.02567639376665276,-0.0011791697269213364,0.011003884727288415,-0.0034608380035724418,0.002257197239780462,-0.00015978544220374147,0.008802763841447625,-0.004533999577785441,0.015336154823019532,0.00783991248081728,-0.005081193505052539,-0.00637004925081297,-0.02320633066279998,0.003326413914539472,-0.007437610290018548,-0.0010914069427511164,-0.007171866031515983,-0.007952646579061473
2018-01-11,0.0056801657248990445,0.0029296452568865483,0.009673441038370756,0.01781828254348916,0.0036007101707902223,0.021356752677146984,0.002757377923074511,0.0047604390994726575,0.030390164646234785,0.013885240645547414,0.001720466497329376,0.015015675432562547,0.021412129662566448,0.005695179913276727,0.005351653185881711,-0.0006509266853305107,0.006630674035548623,-0.0003727558306035883,0.0052356068055059435,0.0029606316089838547,0.022209679282373163,0.001788006190718061,-0.005107311289367589,-0.0035372197590185506,-0.003823403344396903,0.009408646715617364,0.005307631864499784,0.007227986247659635,0.0035114061199053026,0.009874995288217558
2018-01-12,0.010326465394058015,0.01077882600278901,0.03244762302681492,0.022339231610462695,0.01728620659404112,0.012989998342465947,0.010449124309313662,0.019201864508668676,0.007769248517374816,0.013334501503343699,0.01672590233516269,0.008937722085897049,-0.003916283871281068,0.0066996329674133825,0.01650998781936508,0.002388963711257963,0.008762204751310732,-0.04473550388754943,0.01840271070257371,0.01725712847687677,0.018366702421403813,-0.004908822081539199,0.0042776891342304335,-0.00598988231555575,0.011513238595076247,-0.005119110235858537,0.014419441444470493,0.0020861057213321654,0.008498643003175266,0.006786710941108831
2018-01-16,-0.005082057272023488,0.021427364613045174,-0.013278627517905539,-0.0002605871874575838,0.0016032579614824183,-0.00161651519811834,-0.01224608430141283,-0.008074014005337027,-0.011901015349149668,-0.015826436595406612,4.408710305270347e-05,-0.0005602779905823363,-0.0023127908853676216,0.007546750468715224,-0.0035496343532073205,0.008234338312023581,-0.00024623041515670074,-0.005463549955408542,0.040276206084386035,-0.01395111287747286,0.0013560858718164592,-0.0128708093120814,0.004089330972686378,0.006807053196239865,-0.004877906927775011,0.011421116241414841,0.018631872963050133,0.0024979540355463126,-0.0017846923479570842,-0.00628455882599499
2018-01-17,0.016516382713694933,0.018245534250632023,0.020939408909448565,-0.00755630863716783,-0.0019207114145548543,0.003968381706530799,0.010561130061960355,0.016280367974242926,0.0026512913474512345,0.011563800433346039,0.00742916576183239,0.017879931801441096,0.02897542893401228,0.0008171770431630865,0.006412459269032222,0.006232024939962111,0.012508355776249092,-0.004428558534412708,-0.0006441242560049076,0.020260284899169534,-0.018191661632751766,0.020943807243679613,0.01119986023952002,0.010862192062900178,0.0035403525747577103,0.02087858455510405,0.023743977615082956,0.013207201677746028,0.019962171229552794,0.011843610303926999
2018-01-18,0.0008930336818440132,-0.0052702497357396405,-0.001475945528089273,-0.0012972916415299185,0.009621295847497713,-0.004056433739986209,0.015721443309427485,0.0024268651577838973,-0.005817499506124202,-0.013842998750809743,-0.0027477670214473005,-0.007456761538425671,0.0020275663859854465,-0.0004084506481674133,0.002389688270149737,0.001281736315356996,0.007059067252693341,0.012387425417146991,-0.014509119310115115,-0.0004438439207909983,0.013011537749191726,-0.0012459407788452115,-0.0010908822392540207,-0.0036458228417568517,0.008141448917619254,-0.007460532163804823,0.019838474253787597,0.009263890469634495,0.015579186201143624,-0.006477738601634031
2018-01-19,-0.004462548697852564,0.00799544662692453,-0.0023955210398250992,0.0009741736041779525,0.00762405458524551,0.0040729554137479695,0.0014317829070249477,-0.00024199304340621897,-0.0022038786179865433,0.0015395016712356213,0.006628684187092615,0.015126589666657697,0.007643946398797619,0.0029951796836922284,-0.00220697514296031,0.00597283321196751,0.008158583012635612,0.008286958961984947,0.002453746693481307,-0.0011096411249887916,0.0005899596230423132,0.025262720780246495,0.009407756993065952,0.009869422092249724,0.001615005857426688,0.015816873268893028,0.0007812736960599587,-0.0033302957468822614,0.002780822558890339,-0.00320229168669528
2018-01-22,-0.008180966296304493,0.017679428783872186,0.010780159691459623,0.025282411609683475,0.006935721956383922,0.010869114376385935,0.008576547615383623,0.00896073677875453,0.009596428082770503,0.004611768792494919,0.018067202893626177,0.015546484754806134,0.020749562654579057,0.005292976268455263,0.011680378906312905,0.004665084120321961,0.008691291321497596,0.022505301984279358,-0.0004896995651098024,0.017888809523897597,0.03229610398554206,0.015557819487852509,0.01115091916510269,0.009003868751285893,0.017737395486067564,0.004399674810198428,0.0008630392541020271,0.013284490521469738,0.00822262998420542,0.012621782131415848
2018-01-23,0.00022567695256170417,-0.010423418618285996,0.01137282673700235,0.02654236704761037,-0.0006263748376900136,-0.004938967773044145,0.003100403082573644,0.010561635365650357,-0.011617609021693509,-0.006210660277099711,0.010316512790313759,0.0021520722934242897,0.006775824113829154,-0.03685941169193375,-0.0010497370818643992,0.0014773201248592382,-0.0064772607802628945,0.02147054687665273,0.007347071954937778,0.003165779594326068,0.08061146983183862,0.022337492460186237,-0.0017282730977383753,-0.030906549117971416,-0.017956623222956103,0.0034987229726255453,0.006774580916492523,0.0025735655894600917,0.004267141723279577,0.0005671338321024955
