Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
2018-01-02,40.304176330566406,68.77315521240234,177.6999969482422,59.45050048828125,24.637500762939453,168.2540283203125,102.8992691040039,30.269533157348633,89.45236206054688,106.22453308105469,53.22063064575195,153.79287719726562,39.330379486083984,110.7641830444336,85.90127563476562,35.25035858154297,144.8092803955078,180.00741577148438,41.59349060058594,78.870361328125,20.10700035095215,4.928267002105713,91.60279846191406,72.28070068359375,15.921097755432129,21.368667602539062,193.09042358398438,108.1119384765625,28.855201721191406,58.58043670654297
2018-01-03,40.297149658203125,69.84937286376953,181.0399932861328,60.209999084472656,24.555091857910156,170.2732696533203,103.76654052734375,30.511005401611328,90.10444641113281,106.68059539794922,54.12862777709961,154.59445190429688,37.995582580566406,111.82227325439453,85.98880767822266,35.17293930053711,146.62997436523438,183.23208618164062,41.534297943115234,79.2374038696289,20.5049991607666,5.252614498138428,91.3622817993164,72.1930160522461,15.55343246459961,21.149999618530273,195.11598205566406,109.1882095336914,29.106908798217773,59.730960845947266
2018-01-04,40.484336853027344,69.45101165771484,183.22000122070312,60.47949981689453,24.8764591217041,168.950927734375,105.13642883300781,30.597320556640625,89.82398986816406,106.6330795288086,54.33888626098633,155.8213348388672,37.298805236816406,111.8143081665039,87.22063446044922,35.6683464050293,148.52700805664062,182.89471435546875,42.207557678222656,79.934814453125,20.562999725341797,5.280303478240967,91.81230926513672,72.70330810546875,15.69802474975586,20.974666595458984,195.962890625,109.5942153930664,29.133235931396484,59.813621520996094
2018-01-05,40.94527053833008,70.6600341796875,185.33999633789062,61.457000732421875,24.9918155670166,167.74476623535156,106.53587341308594,31.02109146118164,89.67675018310547,106.05351257324219,55.05942916870117,157.44900512695312,37.55906295776367,112.73712921142578,86.66071319580078,35.66059494018555,151.6060028076172,185.3951416015625,42.16317367553711,80.92584991455078,20.999000549316406,5.325048923492432,92.07609558105469,72.75115966796875,15.755851745605469,21.10533332824707,199.6996612548828,112.21886444091797,29.305931091308594,59.765384674072266
2018-01-08,40.793182373046875,69.52790069580078,185.0399932861328,62.34349822998047,24.81877899169922,168.39694213867188,107.28488159179688,31.342836380004883,90.11846160888672,104.53330993652344,55.25382614135742,157.07273864746094,37.55906295776367,112.88034057617188,86.78870391845703,35.60642623901367,152.06431579589844,186.81399536132812,41.91901397705078,81.0084228515625,21.204999923706055,5.488211631774902,91.54850769042969,73.1338882446289,15.801294326782227,22.42733383178711,196.23350524902344,112.67205047607422,29.739089965820312,60.03408432006836
2018-01-09,40.78850173950195,70.05203247070312,186.6999969482422,62.6349983215332,24.942371368408203,166.44033813476562,107.57068634033203,31.146650314331055,89.6346664428711,104.45729064941406,55.183406829833984,157.93972778320312,36.61880874633789,114.6703109741211,87.2286605834961,35.78443908691406,152.28387451171875,186.40719604492188,42.02259826660156,80.953369140625,20.930999755859375,5.486729621887207,91.61831665039062,72.59965515136719,15.760100364685059,22.246000289916992,197.21141052246094,112.45491027832031,29.382015228271484,59.779197692871094
2018-01-10,40.77913284301758,69.66767120361328,187.11000061035156,62.71649932861328,25.173095703125,165.66305541992188,107.22575378417969,31.31930160522461,90.20963287353516,104.0107192993164,55.051998138427734,156.87646484375,35.67856979370117,114.53509521484375,88.18851470947266,35.66059494018555,152.6276092529297,186.37741088867188,42.392513275146484,80.5863265991211,21.25200080871582,5.529745101928711,91.15278625488281,72.13719177246094,15.394366264343262,22.31999969482422,195.74462890625,112.3321762084961,29.17129135131836,59.303794860839844
2018-01-11,41.010765075683594,69.87177276611328,188.9199981689453,63.83399963378906,25.263736724853516,169.20108032226562,107.52141571044922,31.468395233154297,92.95111846923828,105.4549331665039,55.14671325683594,159.23207092285156,36.44252395629883,115.18739318847656,88.66046905517578,35.63738250732422,153.63963317871094,186.3079376220703,42.614463806152344,80.82491302490234,21.724000930786133,5.539632320404053,90.68724060058594,71.88202667236328,15.3355073928833,22.530000686645508,196.7835693359375,113.14411163330078,29.273723602294922,59.88941955566406
2018-01-12,41.434261322021484,70.62490844726562,195.0500030517578,65.26000213623047,25.700450897216797,171.3990020751953,108.6449203491211,32.07264709472656,93.67327880859375,106.86112213134766,56.069091796875,160.65524291992188,36.2998046875,115.9591064453125,90.12425231933594,35.72251892089844,154.98585510253906,177.97335815429688,43.398685455322266,82.21971893310547,22.12299919128418,5.512439250946045,91.0751724243164,71.45146179199219,15.512068748474121,22.4146671295166,199.62107849121094,113.38014221191406,29.522510528564453,60.29587173461914
2018-01-16,41.223690032958984,72.13821411132812,192.4600067138672,65.24299621582031,25.741655349731445,171.12193298339844,107.31444549560547,31.813692092895508,92.5584716796875,105.16989135742188,56.071563720703125,160.5652313232422,36.215850830078125,116.83422088623047,89.8043441772461,36.01667022705078,154.94769287109375,177.00099182128906,45.92151641845703,81.07266235351562,22.152999877929688,5.4414896965026855,91.4476089477539,71.93783569335938,15.436402320861816,22.67066764831543,203.34039306640625,113.66336059570312,29.46982192993164,59.91693878173828
