date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
2018-01-03,-0.00017434106507252523,0.015648689955677808,0.01879570284327836,0.012775310383486449,-0.0033443153799567193,0.012001059610528664,0.008428204668510464,0.007289225151374756,0.004293380600716823,0.017060926196307724,0.0052114436659369545,-0.03393815692074198,0.009552846550449967,0.0010185399494495595,-0.0021960528836112436,0.012573256979657499,0.01791418386000143,-0.0014229396768958846,0.004654035996809247,0.019794042018585145,0.06581440479690959,-0.00262564776042018,-0.0012134291649641415,-0.023092728397105966,-0.010233112708571634,0.010490126103412711,0.009955226532742945,0.00872291152389515,0.01963988039208653
2018-01-04,0.004645267192084468,-0.005702927419730108,0.012041582055987154,0.004476012896857506,0.013087209327615534,-0.007765732221229005,0.013201638981339858,-0.003112487740435821,-0.0004452601110016552,0.0038843524734319956,0.007936436651674095,-0.018338578482565704,-7.122988216368142e-05,0.014325790308730824,0.014084565088824386,0.012937345108431142,-0.0018411435159255696,0.01620963468944492,0.008801435343583242,0.002828606044821269,0.005271010919670305,0.0049258307031394555,0.007068759239780675,0.009296365095127213,-0.008289977599700626,0.00434030425298193,0.003718124620760044,0.0009050222081350423,0.001384011313243505
2018-01-05,0.011385199240986799,0.017407832904138276,0.01157076248806388,0.016162516530176196,0.004637403403721985,-0.00713930454075451,0.01331082220082802,-0.0016392874518575962,-0.005435365881230725,0.013260382241369495,0.01044555145282855,0.006977336899559372,0.008253292945023638,-0.0064199456551784495,-0.00021699973112998538,0.020729993536998226,0.013671234451584136,-0.0010516555757493773,0.012398045434970584,0.021203172192687303,0.00847439183492038,0.0028731040317937495,0.0006579659156864537,0.0036839552751790627,0.006229740634655645,0.01906915893031802,0.023949078604203144,0.00592731146160741,-0.0008063250887448969
2018-01-08,-0.003714147243308097,-0.016021938442060124,-0.001618663308975754,0.014424678832250848,-0.0069238812657737014,0.003888271038825497,0.007030715697009526,0.004926362766106918,-0.014334299907256098,0.0035305363542774693,-0.0023895739101984503,0.0,0.0012699060222172154,0.0014772700261207472,-0.001519541756269338,0.0030234559389672455,0.007653051776308928,-0.005790828279797822,0.0010207301458935447,0.009809960902941617,0.0306402390019771,-0.005730243065515839,0.005260685728559977,0.002884171491323917,0.06263821959024418,-0.01735714635011054,0.004038344522818038,0.014781045829266981,0.00449597140817759
2018-01-09,-0.00011464707030928167,0.007538326703911746,0.008971053406505725,0.0046757095740346255,0.00497986964221564,-0.011619360998573525,0.0026639082250192736,-0.005369025584377574,-0.0007270796214222663,-0.0012744003762930056,0.005519763658524912,-0.02503311538087305,0.015857646496567845,0.005069108624886409,0.004999888579482636,0.0014435528297589428,-0.002177563742338684,0.0024710573967099414,-0.0006795103381634915,-0.012921488744754073,-0.00026977451542242736,0.0007626187951075281,-0.007304656688646771,-0.00260718013231942,-0.00808538113492141,0.004983298287652538,-0.0019271203181928653,-0.012006976464373875,-0.004246016031947963
2018-01-10,-0.0002297880506846317,-0.005486796195237509,0.0021960560729044065,0.0013012055442500614,0.009250219488632805,-0.004670131027882607,-0.0032065662442357645,0.006414384563804054,-0.004275011236959392,-0.0023815152772017623,-0.006732176320937033,-0.025676383067492203,-0.0011792360248488176,0.011004060618369227,-0.0034607310325256435,0.0022570970401427637,-0.00015962175374362175,0.00880294539601234,-0.004534562906870154,0.015336154823019754,0.007839651077429455,-0.005081028227037265,-0.0063699441622349084,-0.023205970399610587,0.003326413914539472,-0.0074373793226713,-0.0010914748608330527,-0.007172189212328983,-0.007952393356439713
2018-01-11,0.0056801657248992665,0.0029295354248084493,0.009673441038370534,0.01781828254348916,0.0036006344014587466,0.021357221082648925,0.002757235421627202,0.030390341505049934,0.013885018552552308,0.0017206053210228056,0.01501586996510862,0.021411585913158504,0.005695445601906934,0.00535139318590816,-0.0006511404907012519,0.006630874646416984,-0.00037267396022588883,0.005235425892956114,0.0029610105835584655,0.022209679282373163,0.0017882651930538618,-0.005107311716844309,-0.003537113622636201,-0.003823402396964437,0.009408646715617364,0.005307553498232753,0.007227987229482702,0.00351173350134526,0.009874609340174256
2018-01-12,0.010326372377083892,0.010779044385527126,0.03244762302681492,0.022339231610462695,0.01728643439158417,0.012989546264087437,0.010449054093770949,0.007769413314369533,0.01333443012061486,0.01672590233516269,0.00893733706357236,-0.003915970249931178,0.006699166662692324,0.01651033486812503,0.0023891777952897986,0.008762303196526933,-0.04473566402547169,0.018402889735555927,0.017256557225554525,0.018366702421403813,-0.004908907736395185,0.004277857751407765,-0.005990199457148071,0.011513235731166471,-0.005119110235858537,0.01441951898544147,0.002086375725782741,0.008497989785549942,0.0067870957090370165
2018-01-16,-0.005081781541119157,0.02142692787581213,-0.013278627517905539,-0.0002605871874575838,0.0016028866505768402,-0.0016159816238175972,-0.012245875351686752,-0.011901258720412922,-0.015826367459848445,4.4223174358482e-05,-0.000559898183061569,-0.0023130005765161776,0.0075467509652451525,-0.0035500570230448947,0.008234016192735893,-0.00024672263050040666,-0.005463464687459618,0.05813167202073499,-0.013950652797238505,0.0013560858718164592,-0.012871068818156584,0.004089163089535441,0.006807587809660953,-0.004877844248719843,0.011421116241414841,0.018632024416374682,0.0024978191185982546,-0.0017840470889195492,-0.006284369027067305
2018-01-17,0.016516194583930277,0.01824543234914433,0.020939408909448787,-0.00755630863716783,-0.0019204154582256328,0.003968202660645126,0.010561058217308128,0.0026512093566819495,0.011563801272224783,0.007428960653047989,0.01787983337142518,0.02897542893401206,0.0008171117954951512,0.006413055593690986,0.006232449259141903,0.012508753379855797,-0.00442864474177751,-0.0006445393914996655,0.020259904663479267,-0.018191661632751766,0.020944250899170624,0.011200028032190223,0.010861975344255592,0.003540227919432315,0.02087858455510405,0.023744197391603716,0.01320713455502065,0.01996210263149001,0.011843480708981557
