tau,sigma,objective,feasibility,step_norm,iterations,runtime_sec
0.5,0.05806451612903226,0.003217042345969982,1.2951846899319657e-09,9.99165254424138e-08,4801,0.14585380000062287
1.0,0.02903225806451613,0.0032170423435145803,2.5910502711156688e-09,9.979995508058107e-08,2637,0.0843860000022687
2.0,0.014516129032258065,0.003217042347535867,5.194512778020146e-09,9.960963565369657e-08,1438,0.0448096000473015
5.0,0.005806451612903226,0.003217042361420813,1.8821469132830536e-08,9.984537888853068e-08,640,0.019484199990984052
