rho,objective,primal_residual,dual_residual,iterations,runtime_sec
0.1,0.0032170423382378546,1.4847227640911946e-08,9.808901536742975e-08,269,0.009918600029777735
1.0,0.003217042338297161,1.4535037091882508e-10,9.984287954692348e-08,2637,0.08338560000993311
10.0,0.0032175693518997914,1.5463926722222786e-09,5.669805523149586e-05,5000,0.16285560000687838
100.0,0.003268629862399757,5.140909787544813e-09,0.0013302760605918903,5000,0.16093200002796948
