iteration,objective,primal_residual,dual_residual
1,0.005735446812970035,0.0006783613861153656,0.020699433311231436
2,0.005731133317372142,2.45256399435494e-06,0.020763214156686433
3,0.0057268290189298856,2.534102811627977e-07,0.02074124124704722
4,0.005722533965426135,2.639488209620177e-07,0.020718957773869746
5,0.00571824813359578,2.6369549503955816e-07,0.020696705786107352
6,0.005713971499954422,2.6339934594574304e-07,0.020674486602117598
7,0.00570970404108148,2.631034110151019e-07,0.020652300176148823
8,0.005705445733621136,2.628078619582332e-07,0.020630146457057224
9,0.00570119655428213,2.625126991932014e-07,0.020608025393757296
10,0.005696956479837619,2.622179217318537e-07,0.020585936935233237
11,0.005692725487124959,2.619235293461545e-07,0.02056388103054292
12,0.005688503553045533,2.6162952150402166e-07,0.020541857628819722
13,0.005684290654564556,2.613358976353666e-07,0.02051986667926838
14,0.005680086768710907,2.610426571320953e-07,0.020497908131170643
15,0.00567589187257694,2.6074979946212526e-07,0.02047598193387658
16,0.005671705943318313,2.604573239793565e-07,0.020454088036816507
17,0.005667528958153774,2.601652307598006e-07,0.02043222638948597
18,0.005663360894365024,2.598735183592342e-07,0.02041039694145643
19,0.005659201729296507,2.5958218673965097e-07,0.020388599642377474
20,0.005655051440355241,2.5929123548298647e-07,0.02036683444196337
21,0.005650910005010629,2.5900066386712875e-07,0.020345101290008095
22,0.005646777400794305,2.5871047120797177e-07,0.020323400136370923
23,0.005642653605299926,2.5842065735349206e-07,0.020301730930992374
24,0.005638538596183007,2.581312214669266e-07,0.020280093623879746
25,0.005634432351160751,2.57842163133378e-07,0.02025848816511427
26,0.005630334848011865,2.5755348181506275e-07,0.020236914504846513
27,0.005626246064576368,2.5726517709708316e-07,0.02021537259330484
28,0.005622165978755462,2.5697724810847124e-07,0.020193862380788193
29,0.0056180945685113115,2.566896947295083e-07,0.020172383817661853
30,0.005614031811866876,2.564025162412497e-07,0.020150936854369708
31,0.005609977686905762,2.5611571203496775e-07,0.020129521441423007
32,0.005605932171772014,2.558292819206331e-07,0.02010813752940937
33,0.0056018952446699796,2.5554322475806904e-07,0.020086785068983565
34,0.005597866883864087,2.55257540964707e-07,0.02006546401087298
35,0.005593847067678744,2.549722288708215e-07,0.020044174305879285
36,0.00558983577449809,2.546872889679555e-07,0.020022915904869983
37,0.0055858329827658745,2.544027201894104e-07,0.02000168875879058
38,0.005581838670985272,2.5411852208608336e-07,0.019980492818651177
39,0.005577852817718714,2.5383469427284776e-07,0.019959328035536097
40,0.005573875401587711,2.5355123618214943e-07,0.019938194360600965
41,0.005569906401272694,2.5326814723883247e-07,0.01991709174507522
42,0.005565945795512849,2.529854268791427e-07,0.019896020140246405
43,0.005561993563105931,2.5270307475976056e-07,0.019874979497491705
44,0.005558049682908109,2.5242109042334835e-07,0.019853969768242333
45,0.005554114133833805,2.521394728792193e-07,0.01983299090400619
46,0.005550186894855515,2.518582222451918e-07,0.019812042856367017
47,0.0055462679450036445,2.5157733756985153e-07,0.019791125576969038
48,0.005542357263366358,2.5129681839586136e-07,0.019770239017530816
49,0.005538454829089386,2.5101666450151985e-07,0.019749383129846358
50,0.005534560621375883,2.5073687511530784e-07,0.01972855786576997
51,0.005530674619486263,2.504574496367321e-07,0.01970776317723358
52,0.005526796802738025,2.501783877630126e-07,0.019686999016231728
53,0.005522927150505586,2.4989968914829553e-07,0.01966626533483649
54,0.005519065642220139,2.496213527702226e-07,0.019645562085185996
55,0.0055152122573694715,2.493433785401136e-07,0.01962488921948411
