Date,Equal Weight,QP,SOCP
2023-01-03,0.9966870341592721,0.9997968427720378,0.9864389710717351
2023-01-04,1.0076453189567645,1.006416340001083,0.9895201774828419
2023-01-05,0.9977952920938559,1.004618253095852,0.9964729877008466
2023-01-06,1.0198301296537,1.020081257641282,1.0110339350814885
2023-01-09,1.02183673578032,1.0014624544130433,0.9876658222491722
2023-01-10,1.027953570287204,1.0015726229228616,0.9895526831332534
2023-01-11,1.037727756423643,1.001926795650009,0.9913281092951881
2023-01-12,1.0428303448843315,0.9974193635367058,0.991821058533132
2023-01-13,1.0472115795495744,0.9993935496574469,0.9941630523121846
2023-01-17,1.0458075749309335,0.9964636571718538,0.9887754069397261
2023-01-18,1.0275692715013034,0.9762745137032414,0.9688284578178692
2023-01-19,1.0213142467188585,0.9729998281858082,0.9717294020803461
2023-01-20,1.0447557704804113,0.9783218638135883,0.9813432091480468
2023-01-23,1.0602140156512905,0.9795053385058472,0.9784341877420094
2023-01-24,1.061343992773936,0.9799073438214452,0.9791078184889327
2023-01-25,1.063540323956831,0.9851845993630556,0.9778820761319835
2023-01-26,1.0780841223295354,0.9846643112495697,0.9887671890795198
2023-01-27,1.0818997191643644,0.9801039743621573,0.9769318695717771
2023-01-30,1.0667574106734077,0.9687067122649053,0.9706428336371622
2023-01-31,1.0815042643312165,0.9792490326631846,0.987561674758155
2023-02-01,1.0939860877866616,0.9806845788109188,0.9827903440346215
2023-02-02,1.1070473893071575,0.9737224082434279,0.9621583825084178
2023-02-03,1.097451970568525,0.9674606922857165,0.9616016757693504
2023-02-06,1.0922248302086648,0.9668179962028924,0.9634019752645167
2023-02-07,1.1048512452378099,0.9698424272469064,0.9779830708308218
2023-02-08,1.0945605479013278,0.9671857844895916,0.9723216431480539
2023-02-09,1.088914021329966,0.9658634181099908,0.9786786741593707
2023-02-10,1.0863039941424637,0.9758310963519691,1.0031032700616718
2023-02-13,1.0994598129984305,0.983407123502337,1.0080936588585532
2023-02-14,1.1011684006894602,0.9795117880242458,0.9991493247118916
2023-02-15,1.1037766693864501,0.9748109901294998,0.996238790447581
2023-02-16,1.0880890911563776,0.9650476844659143,0.9881661546011775
2023-02-17,1.086084604653169,0.9779921442109444,0.9837917573678313
2023-02-21,1.0658364572592869,0.970941480899586,0.981342473868739
2023-02-22,1.0636599061372107,0.9683527439649897,0.9733934440898221
2023-02-23,1.067799636525769,0.9695027043324783,0.980369600438884
2023-02-24,1.0555613874103613,0.9650182362169181,0.9781204293481958
2023-02-27,1.0592509428642207,0.9637796382587467,0.9778966162882924
2023-02-28,1.0555792214334316,0.9531228018527957,0.9676858745908357
2023-03-01,1.049511819430833,0.9485421665117227,0.9718184576908381
2023-03-02,1.056956926847012,0.9511999923163321,0.9754897894230345
2023-03-03,1.0725460159461369,0.9572230428429709,0.9799412390416684
2023-03-06,1.0751148141887843,0.9648774978800903,0.995371266720295
2023-03-07,1.0614921326650155,0.9563817490117588,0.985960665649013
2023-03-08,1.059814964440717,0.9477173027577982,0.9695182089017146
2023-03-09,1.0411225582701473,0.9368982103706386,0.9600015166755419
2023-03-10,1.0337299699029512,0.9380182198151363,0.9564093823981208
2023-03-13,1.0332452057906272,0.9403225369791541,0.9499996975668111
2023-03-14,1.0533210205722008,0.9487173396370755,0.9621386274394997
2023-03-15,1.0536174191654866,0.9493267499079359,0.9471915521068961
2023-03-16,1.0717480649293514,0.9500830498826836,0.9472372009319633
2023-03-17,1.062528088562205,0.9409653460381389,0.9333342749212153
2023-03-20,1.0702194568833105,0.9533471869301878,0.9500172357657766
2023-03-21,1.0848170303002023,0.9573612626620437,0.9665292321949406
2023-03-22,1.0683175283436757,0.9450960884655693,0.9508997345341443
2023-03-23,1.0767186057851919,0.9458078677990499,0.9489199343716898
2023-03-24,1.0830937669839187,0.9557388025622101,0.9554124828817332
2023-03-27,1.0873393477457052,0.9641179166812566,0.96791120254996
2023-03-28,1.0827366957465672,0.9602520276216844,0.9679786421932232
2023-03-29,1.0986164483293028,0.9666434369643826,0.9736322500443411
2023-03-30,1.1047944859748415,0.9707755097859551,0.9774077293229505
2023-03-31,1.1209526143879927,0.9798615501089858,0.9838349891403475
2023-04-03,1.1274152841098328,0.9910781323203235,1.0057749477037246
2023-04-04,1.1252909409286478,0.9919206561960212,0.9997946062288423
2023-04-05,1.1248610503420862,1.0085995125000733,1.0104239992027313
2023-04-06,1.126272575515386,1.0092569012245098,1.006783798250323
2023-04-10,1.124767808960094,1.0066107408258294,1.0077679868235596
2023-04-11,1.1236621370160624,1.0068316009031477,1.0094290303615374
2023-04-12,1.1170404840242782,1.0071113214779237,1.0101657701422735
2023-04-13,1.1355940904940964,1.0176918705016906,1.0196436665404764
2023-04-14,1.1355737597054336,1.014659266420736,1.0174486422412106
2023-04-17,1.1361634844682418,1.0148884302639796,1.013435286888144
2023-04-18,1.1368838656520233,1.0075130302554944,1.0178048403281221
2023-04-19,1.1306080621729713,1.0092925048399235,1.0204666641761693
2023-04-20,1.1234512522028655,1.0072267925012743,1.0180641791894567
2023-04-21,1.1280890391352865,1.0123925814579517,1.0225861757645012
2023-04-24,1.127238032028212,1.014151692126471,1.03383254023916
2023-04-25,1.1133001190485674,1.0164446827416034,1.028674180942275
2023-04-26,1.105421837028152,1.0022289052325168,1.0150132240182248
2023-04-27,1.1248612900685238,1.0066686357352963,1.0044661799437185
2023-04-28,1.1357745308096132,1.0117421892233658,1.0136541868132727
2023-05-01,1.1328188450520915,1.0129356238704155,1.0097040688275922
