sigma_max,expected_return,variance,std,objective,status,runtime_sec
0.008830487798189523,0.0006813963900725577,7.79775198817249e-05,0.008830488088533097,-0.0006813963900725577,optimal,0.003054400032851845
0.011436334802453197,0.0013638574709775688,0.0001307897563474118,0.011436334917595402,-0.0013638574709775688,optimal,0.0029879999929107726
0.014042181806716871,0.0017211491214744231,0.00019718281018112337,0.014042179680559687,-0.0017211491214744231,optimal,0.0029412000440061092
0.016648028810980542,0.0020208008823987215,0.0002771568656066415,0.016648028880520405,-0.0020208008823987215,optimal,0.002917099976912141
0.019253875815244216,0.0022866728392627995,0.0003707118361657773,0.019253878470733562,-0.0022866728392627995,optimal,0.00338260002899915
0.02185972281950789,0.0025304630384477634,0.00047784748470998547,0.02185972288731002,-0.0025304630384477634,optimal,0.0031275999499484897
0.024465569823771564,0.0027616112613195205,0.0005985640919289716,0.024465569519816446,-0.0027616112613195205,optimal,0.0028910000110045075
0.02707141682803524,0.002984758710745896,0.0007328618409612115,0.027071421110854366,-0.002984758710745896,optimal,0.0028959999908693135
0.029677263832298913,0.0031941688776648213,0.0008807376201848009,0.029677223929889415,-0.0031941688776648213,optimal,0.0029084999696351588
0.03228311083656259,0.0033613677712766416,0.0010421994893108977,0.032283114616017114,-0.0033613677712766416,optimal,0.0029513000044971704
0.03488895784082626,0.0035015089261943863,0.0012172393902522118,0.03488895799894591,-0.0035015089261943863,optimal,0.0029054000042378902
0.037494804845089935,0.00362771060275833,0.0014058601438196852,0.03749480155727838,-0.00362771060275833,optimal,0.002897700003813952
