iteration,objective,feasibility,step_norm
1,0.002772461748760309,0.25959656561096034,0.04926305728117487
2,0.003922677180493344,0.11473801937336392,0.03052559322477234
3,0.004663714892456043,0.022393298125545025,0.023113229771582564
4,0.004762721644661556,0.007324909347147912,0.016005117423039755
5,0.004615248431414077,0.012179678593423837,0.013926977299636668
6,0.0044342239392638075,0.011270121049380265,0.012740519531450048
7,0.004276125370400617,0.011468877282055633,0.01166586392900164
8,0.004144362982919092,0.01304827006288285,0.010691210392385804
9,0.004033386862284045,0.01490179474435543,0.009820551841215545
10,0.0039385403381798295,0.01645497882689503,0.009055729591705657
11,0.003856696658498874,0.017495073991730566,0.008399669151374143
12,0.0037856378511428954,0.01795644861027687,0.007853334014639333
13,0.0037240774631336028,0.01793061734542886,0.007398826798398927
14,0.0036705555716485608,0.01758221930796072,0.007025648881776226
15,0.0036239154388188945,0.016939421578242464,0.00672011844640586
16,0.003583524829239199,0.01617008240048892,0.00645754910905617
17,0.0035484951333434704,0.015399089892348242,0.006225332459136319
18,0.003518172749078644,0.014684929853223441,0.006011409994617461
19,0.003492148453823626,0.014142592286185285,0.005802564401979226
20,0.0034698273938569666,0.013823708647461352,0.005594167676430893
21,0.0034509883017897845,0.013780733328331077,0.005374923897507079
22,0.0034350684505561994,0.014013485335983414,0.005147816440887283
23,0.0034215817128057453,0.014268468956372403,0.00491919785865121
24,0.003410121722309744,0.014260549296111563,0.00469759771589069
25,0.0034003249164902627,0.013978621549811054,0.004492411060787581
26,0.003392083820944821,0.013463495973739036,0.004303917857522676
27,0.003385136471805529,0.012854691642477054,0.004132784443321773
28,0.0033790591703209308,0.012202903164890505,0.003984264735301794
29,0.003373549764243199,0.011546884385905488,0.0038615255098602605
30,0.003368398589275039,0.010927782580011187,0.0037651162126765775
31,0.0033635087711917527,0.010392301311179436,0.003691041120562987
32,0.003358808369735188,0.009984858311247402,0.0036325248295167333
33,0.0033541805104377485,0.009636400361202814,0.0035830257642055657
34,0.0033496372544983776,0.009304354178521008,0.0035296597967912936
35,0.0033450932503266235,0.009052174045587787,0.003465534576075143
36,0.003340441493506147,0.008894097551908335,0.0033892254567420943
37,0.003335643320301842,0.008806783283701996,0.0033013373113523325
38,0.0033306991304902184,0.008708346513920256,0.003204232451058896
39,0.0033257336146361497,0.008564416632992934,0.0030969894911555755
40,0.003320861588282528,0.00840179161960766,0.002978231308981364
41,0.0033159866264529615,0.008246526203247744,0.0028542828211210263
42,0.003311075739955456,0.008120137044034812,0.002732378807878582
43,0.0033061442993891754,0.008134788440625092,0.002619881798920184
44,0.0033012259299594763,0.008238404387080584,0.002523288770291462
45,0.003296359761012291,0.008325722177776438,0.00244719123624897
46,0.0032915867629246327,0.008302184405696095,0.002393423541328834
47,0.0032869486245400347,0.008146207321411547,0.002360696059026267
48,0.0032824868606814613,0.007861116144039662,0.002344894079717745
