iteration,objective,primal_residual,dual_residual
1,0.005273196468731189,0.13026852115555157,0.002916607635174347
2,0.004652109165230233,0.09567649437282388,0.0038977886114079925
3,0.004109096351136411,0.06739202425768429,0.004128524223327058
4,0.003779177371601019,0.04779580878081125,0.003542940852618316
5,0.0035668840718420195,0.03348363895213212,0.003028645641516208
6,0.003432178825142523,0.023068009775314247,0.0025721687624135126
7,0.0033531543967200697,0.016654697496263363,0.0020829035542779795
8,0.0033076475692255134,0.011293722878000702,0.0016959144623536278
9,0.0032792908671976976,0.0074204979673848,0.0013915816256020114
10,0.003260381161609787,0.004053532117490021,0.0012102932015873504
11,0.0032482746443563922,0.0031181162489609224,0.0009813761725899807
12,0.003240335332557552,0.0020030236042745593,0.0008337131796262882
13,0.003235549033333941,0.002741200410816729,0.0006528394974623507
14,0.003232196431313345,0.0009545783487183504,0.0005649565327019598
15,0.003229705363656268,0.0008104941616175269,0.0004942086734598386
16,0.003227805673119543,0.0009035758131192616,0.00043578824002812855
17,0.003226319862639395,0.000938576977064442,0.00038751187559491764
18,0.0032251300283905574,0.0009256301719865666,0.00034748096121338184
19,0.0032241572872617474,0.0008806561109594337,0.0003140640618564004
20,0.003223348124656816,0.0008164893192273743,0.0002859126172637516
21,0.003222665481942738,0.0007426201726458301,0.0002619453878753535
22,0.0032220830282303544,0.0006657081093682927,0.00024131521574975758
23,0.0032215815132598906,0.0005901981417046813,0.00022336877640312123
24,0.003221146453035546,0.000518877123747274,0.00020760643944671173
25,0.0032207666565238122,0.0004533303178790388,0.00019364644180195224
26,0.0032204332778407604,0.0003942989229224515,0.0001811952418147995
27,0.0032201391950948646,0.0003419517163736621,0.00017002431062832112
28,0.0032198785924635156,0.00029608655997002265,0.00015995270424571628
29,0.0032196466697672734,0.00025627656057345115,0.0001508343779596127
30,0.0032194394334088662,0.00022197358198004327,0.00014254915572894052
31,0.003219253540627655,0.00019257951654319124,0.00013499638891989062
32,0.0032190861799190115,0.00016749361341678528,0.00012809052440936267
33,0.0032189349769704543,0.00014614234463700826,0.00012175799102887528
34,0.0032187979193264073,0.00012799678987538148,0.00011593497750743364
35,0.0032186732952902116,0.00011258131165880555,0.00011056580533238332
36,0.0032185596439565345,9.947633596579221e-05,0.00010560169705256704
37,0.003218455714123846,8.831730635327322e-05,0.00010099980952936647
38,0.003218360430388454,7.8791303950264e-05,9.672244868439811e-05
39,0.003218272865095738,7.063238674180682e-05,9.273641322099258e-05
40,0.0032181922150919537,6.361637119556405e-05,8.901243444236227e-05
41,0.0032181177824215663,5.755553434410132e-05,8.552469137154808e-05
42,0.0032180489582724074,5.229353624799376e-05,8.225038758843587e-05
43,0.0032179852095971526,4.770073616456184e-05,7.916938039865237e-05
44,0.003217926067942163,4.366998839446827e-05,7.626385536459283e-05
45,0.00321787112009883,4.0112945652015486e-05,7.351804063427617e-05
46,0.003217820000261538,3.695686088655081e-05,7.091795636479382e-05
47,0.0032177723834329605,3.4141856519696325e-05,6.845119512052655e-05
48,0.003217727979863911,3.161861833218066e-05,6.610672957424253e-05
49,0.0032176865303528792,2.9346466282829083e-05,6.38747442209288e-05
50,0.0032176478022615286,2.72917539273114e-05,6.174648816232571e-05
51,0.0032176115861277717,2.542655014234623e-05,5.9714146343054934e-05
52,0.0032175776927787546,2.372756041038087e-05,5.777072691953551e-05
53,0.0032175459508631057,2.217524922949362e-05,5.5909962719921736e-05
54,0.0032175162047355407,2.0753129782659635e-05,5.412622500398396e-05
55,0.003217488312638444,1.9447191517876972e-05,5.24144479577019e-05
56,0.0032174621451341702,1.8245440558946247e-05,5.077006255733342e-05
57,0.003217437583749675,1.713753177046207e-05,4.9188938613027515e-05
58,0.0032174145198012793,1.611447479405462e-05,4.7667333957208956e-05
59,0.0032173928533726246,1.5168399429234404e-05,4.620184987563207e-05
60,0.003217372492423262,1.4292368369930155e-05,4.47893919963718e-05
61,0.003217353352008829,1.3480227551477911e-05,4.342713595253343e-05
62,0.0032173353535968063,1.2726486243856438e-05,4.2112497222184174e-05
63,0.003217318424464336,1.2026220592609818e-05,4.084310462488546e-05
64,0.0032173024971666395,1.1374995594774496e-05,3.961677702039157e-05
65,0.003217287509066367,1.076880154507072e-05,3.8431502812150604e-05
66,0.0032172734019155947,1.0204001834727886e-05,3.728542190848995e-05
67,0.0032172601214835103,9.677289664415044e-06,3.617680983759405e-05
68,0.003217247617223764,9.185651772282759e-06,3.510406375054987e-05
69,0.00321723584197643,8.726337704925792e-06,3.406569007975088e-05
70,0.0032172247517001694,8.296833494096854e-06,3.306029364906956e-05
71,0.0032172143052308835,7.894838862088297e-06,3.208656805729524e-05
72,0.0032172044640636195,7.518247281621348e-06,3.114328717870786e-05
73,0.0032171951921549746,7.165128370601735e-06,3.0229297644117925e-05
74,0.0032171864557436042,6.8337122219338365e-06,2.934351218222e-05
75,0.0032171782231867826,6.522375358638835e-06,2.8484903716672575e-05
76,0.0032171704648111905,6.22962807386654e-06,2.7652500126747378e-05
77,0.003217163152776428,5.954102965938692e-06,2.6845379591073338e-05
78,0.003217156260949872,5.694544518730537e-06,2.606266644390008e-05
79,0.003217149764791699,5.449799607068328e-06,2.5303527482147382e-05
80,0.0032171436412490382,5.218808826751412e-06,2.4567168668961892e-05
81,0.0032171378686583754,5.0005985682061745e-06,2.3852832186414154e-05
82,0.0032171324266553948,4.794273763069509e-06,2.315979379570989e-05
83,0.003217127296091528,4.599011243944593e-06,2.2487360468448388e-05
84,0.003217122458956676,4.4140536631021614e-06,2.1834868257061265e-05
85,0.0032171178983074395,4.238703925397386e-06,2.1201680376231587e-05
86,0.0032171135982004832,4.072320090014256e-06,2.0587185470825504e-05
87,0.003217109543630511,3.914310704957467e-06,1.9990796048866524e-05
88,0.003217105720472516,3.7641305379393737e-06,1.9411947060331963e-05
89,0.0032171021154279375,3.6212766712518324e-06,1.8850094605546095e-05
90,0.0032170987159744176,3.485284931344399e-06,1.830471475821643e-05
91,0.0032170955103188615,3.35572662490369e-06,1.777530249050627e-05
92,0.003217092487353581,3.232205556472374e-06,1.7261370688860463e-05
93,0.0032170896366152473,3.114355303691056e-06,1.6762449250545595e-05
94,0.0032170869482464823,3.0018367289474348e-06,1.6278084252351138e-05
95,0.003217084412959874,2.8943357066905166e-06,1.5807837183616857e-05
96,0.0032170820220042418,2.7915610485173294e-06,1.5351284236954658e-05
97,0.003217079767133031,2.6932426085506645e-06,1.490801565058773e-05
98,0.003217077640574631,2.5991295539138488e-06,1.4477635097162417e-05
99,0.003217075635004527,2.5089887856249637e-06,1.4059759114257662e-05
100,0.003217073743519156,2.422603496705938e-06,1.3654016572552634e-05
101,0.0032170719596113484,2.3397718555321414e-06,1.3260048178086339e-05
102,0.0032170702771472416,2.2603058034128402e-06,1.2877506005227826e-05
103,0.003217068690344592,2.1840299562928206e-06,1.2506053057678177e-05
104,0.003217067193752381,2.11078060095178e-06,1.2145362854843047e-05
105,0.0032170657822316266,2.0404047781368443e-06,1.1795119041468595e-05
106,0.003217064450937352,1.9727594438862624e-06,1.1455015018331288e-05
107,0.003217063195301599,1.9077107029192286e-06,1.1124753592455627e-05
108,0.003217062011017456,1.8451331070056373e-06,1.0804046645079565e-05
109,0.0032170608940240305,1.7849090131888964e-06,1.0492614815994794e-05
110,0.0032170598404922786,1.7269279960728373e-06,1.0190187203149367e-05
111,0.003217058846811687,1.6710863093502407e-06,9.896501076035083e-06
112,0.0032170579095777267,1.6172863924841839e-06,9.611301602234879e-06
113,0.003217057025580021,1.5654364186612888e-06,9.334341585927752e-06
114,0.003217056191791224,1.5154498795859623e-06,9.06538121767416e-06
115,0.00321705540535653,1.4672452048047901e-06,8.804187834589556e-06
116,0.003217054663583794,1.420745412070819e-06,8.550535690521445e-06
117,0.003217053963934226,1.375877785871495e-06,8.3042057351663e-06
118,0.003217053304013613,1.3325735822548845e-06,8.064985402071565e-06
119,0.003217052681564072,1.2907677567726723e-06,7.832668404637886e-06
120,0.003217052094456231,1.2503987148206124e-06,7.607054539843545e-06
121,0.0032170515406819244,1.2114080803154717e-06,7.387949499186494e-06
122,0.00321705101834725,1.173740484292123e-06,7.175164686589391e-06
123,0.003217050525666056,1.137343368277291e-06,6.968517042728819e-06
124,0.0032170500609537953,1.102166803764415e-06,6.767828875604455e-06
125,0.0032170496226217324,1.0681633251500418e-06,6.572927696960376e-06
126,0.003217049209171473,1.0352877751999323e-06,6.383646064375134e-06
127,0.0032170488191898368,1.003497162390705e-06,6.199821428650867e-06
128,0.0032170484513439697,9.727505287716078e-07,6.021295986378982e-06
129,0.0032170481043767934,9.430088272554862e-07,5.847916537270633e-06
130,0.0032170477771026884,9.142348081378461e-07,5.67953434636149e-06
131,0.0032170474684034113,8.863929139854663e-07,5.516005010515961e-06
132,0.003217047177224273,8.594491814882415e-07,5.357188329342393e-06
133,0.0032170469025705126,8.333711507226321e-07,5.202948180224013e-06
134,0.0032170466435038937,8.081277806695261e-07,5.053152397327255e-06
135,0.003217046399139485,7.836893702393882e-07,4.907672654367577e-06
136,0.0032170461686426254,7.600274853753802e-07,4.766384351153817e-06
137,0.0032170459512260723,7.371148903639869e-07,4.629166503575138e-06
138,0.003217045746147302,7.149254841585323e-07,4.49590163706309e-06
139,0.0032170455527059548,6.934342409539315e-07,4.366475683343317e-06
140,0.0032170453702414607,6.726171543601336e-07,4.240777880263497e-06
141,0.0032170451981307583,6.524511854898611e-07,4.118700674872733e-06
142,0.0032170450357861687,6.329142141263703e-07,4.000139629237087e-06
143,0.0032170448826533892,6.139849930575814e-07,3.884993329261408e-06
144,0.003217044738209587,5.956431054410952e-07,3.77316329625215e-06
145,0.003217044601961619,5.778689243318508e-07,3.6645539010749535e-06
146,0.003217044473444346,5.606435751716453e-07,3.5590722809560636e-06
147,0.003217044352219026,5.439489003293453e-07,3.4566282588055926e-06
148,0.003217044237871838,5.277674255934023e-07,3.3571342648216688e-06
149,0.0032170441300124466,5.120823288063476e-07,3.2605052606417215e-06
150,0.0032170440282726772,4.968774103464095e-07,3.1666586654997308e-06
151,0.00321704393230526,4.821370651003691e-07,3.0755142848672726e-06
152,0.0032170438417826264,4.678462563641939e-07,2.986994240934462e-06
153,0.003217043756395816,4.5399049047269334e-07,2.901022905309731e-06
154,0.0032170436758533925,4.4055579394089405e-07,2.817526833675212e-06
155,0.0032170435998804744,4.275286906107789e-07,2.736434702420259e-06
156,0.003217043528217772,4.148961811542548e-07,2.657677246979313e-06
157,0.0032170434606207153,4.026457227433474e-07,2.5811872021873136e-06
158,0.0032170433968586147,3.9076521022711657e-07,2.5068992442546184e-06
159,0.0032170433367138753,3.792429583333532e-07,2.4347499345105663e-06
160,0.0032170432799812467,3.680676846856462e-07,2.364677664764276e-06
161,0.003217043226467135,3.572284932934597e-07,2.296622604255695e-06
162,0.003217043175988924,3.4671485970691454e-07,2.230526648221233e-06
163,0.003217043128374364,3.3651661595172913e-07,2.1663333679044236e-06
