iteration,objective,feasibility,step_norm
1,0.003855346487759858,0.15300005195133315,0.02911257468430575
2,0.004747470251107336,0.05592291206705191,0.019816841324746336
3,0.005205076557288689,0.0023376634062427515,0.013307910190481118
4,0.005168091817635834,0.0076128056476005845,0.008886372126658488
5,0.00500354833350846,0.005524454367729081,0.008276528891270531
6,0.00485388308070576,0.0035307892338549696,0.007874794048964644
7,0.004731194870052906,0.0028785825905930373,0.0075067824995237965
8,0.00462432685362376,0.002737388575398736,0.007174389662963584
9,0.004527049703530447,0.002653835219959655,0.006864965464248357
10,0.004437501900631218,0.002543162854607761,0.006575132841464911
11,0.004355789582982316,0.0031288701628744576,0.006280990878172545
12,0.004281234737965691,0.004776204375322676,0.0059831148098374665
13,0.004213100356934925,0.006473470485291896,0.005688373332400804
14,0.004150817433259787,0.00794957488019313,0.0054049845875509565
15,0.0040938946440173644,0.00912028941098677,0.005141592162933907
16,0.004041866482103345,0.009951066411225935,0.004906191618210616
17,0.0039942873598788715,0.010429607294602182,0.004705015885065308
18,0.003950737343601645,0.010558135164158655,0.004541519212456621
19,0.003910825800456049,0.010350227933237732,0.004415699018435025
20,0.0038741915823624065,0.0098289316105552,0.004323991190947971
21,0.0038405010269418425,0.009025273396786134,0.004259821589221714
22,0.003809444849524581,0.00797692785000776,0.0042146680123189935
23,0.0037807346587833456,0.006727046123907145,0.004179326756659309
24,0.003754417647865724,0.005444678636179473,0.004135865160936076
25,0.0037301182411117527,0.0044214834541088065,0.004078059834811775
26,0.003707540253803725,0.0039349302978451215,0.0040025277081066875
27,0.003686471679344293,0.004154022089284628,0.003908487805265463
28,0.0036667278479016996,0.0047932512951959026,0.003797508435486636
29,0.0036483637750727126,0.0053856876504880065,0.003666603588660096
30,0.0036311162364025813,0.005932847681537913,0.003521171673463207
31,0.003614770924186283,0.006376581621772172,0.003368797415857844
32,0.003599197991108061,0.006682693692345819,0.0032178940961226777
33,0.0035844380250108854,0.00687199932736743,0.00307323860302204
34,0.0035703081305692923,0.006956789062754942,0.0029434200957018063
35,0.0035566878123781103,0.00692465601725358,0.002835715155354473
36,0.003543512949593177,0.00677280654838023,0.0027549154068030905
37,0.0035307435884488476,0.00650664842718261,0.002702382574243495
38,0.003518351534308204,0.006139154063504303,0.002675750451623305
39,0.0035064290097491183,0.005709403057466371,0.0026658278660989304
40,0.003494977276784487,0.005319313020221866,0.0026634651548476658
41,0.0034839294869625542,0.005013705319118618,0.002661811132314323
42,0.0034732669483034592,0.004799442999263709,0.0026548259926799287
43,0.0034629943595116007,0.004588286585106483,0.0026378285795285233
44,0.0034531175604693605,0.004383390645540668,0.0026077683946280896
45,0.003443637140948911,0.0042018698467969195,0.002563305920415139
46,0.0034345481603303336,0.00405890690784122,0.002504760117024547
47,0.0034259130956328207,0.003917751901591871,0.0024320623479927774
48,0.0034177417764803767,0.003950270108659041,0.002346574301484391
49,0.0034100524692951173,0.004231127209408777,0.002249811649776823
50,0.003402752573435415,0.004660181352100569,0.0021475500774113666
51,0.0033957989331650836,0.005091620682734182,0.002046516981219443
52,0.0033891771777810834,0.00545985708832794,0.001953806770337014
53,0.003382878426122655,0.0057294097830629595,0.0018760368163238362
54,0.003376893102532462,0.005880647041560489,0.0018183103175807088
55,0.0033712111421142442,0.005905310653838199,0.001783204478999617
56,0.003365827930234916,0.005804045539824424,0.0017700449820368823
57,0.0033607798609216876,0.005586239635042259,0.0017741727016462128
58,0.0033560197061587396,0.005232716522190961,0.0017901496802848417
59,0.003351517946581843,0.004755510255658546,0.0018116776631727212
60,0.0033472822085379933,0.0041795650463274945,0.001832179229717841
61,0.0033433045513312377,0.0035736184456262392,0.001846057549225208
62,0.0033395449859235393,0.003067215955897283,0.0018494891722518187
