gamma,expected_return,variance,std,objective,status,runtime_sec
0.2,0.003627709484473709,0.0014058591287197009,0.03749478802073297,-0.003487123571601739,optimal,0.0033931999932974577
0.35,0.0036277106841884205,0.0014058602077681806,0.03749480241004319,-0.003381685147828989,optimal,0.003209299989975989
0.6,0.0036277109390576144,0.0014058603903713796,0.037494804845089935,-0.0032059528219462005,optimal,0.0032221999717876315
1.0,0.0036277030555948507,0.001405851250364658,0.037494682961250095,-0.0029247774304125215,optimal,0.0030937999836169183
1.7,0.003392557339128507,0.0010780214927455624,0.03283323762204334,-0.002476239070294779,optimal,0.0031063000205904245
3.0,0.003025070151078769,0.0007593103144333048,0.027555585902558938,-0.001886104679428812,optimal,0.0032246000482700765
5.0,0.0022950370302599467,0.00037404524534273705,0.01934024936092441,-0.001359923916903104,optimal,0.00316770002245903
8.0,0.0018062321640613037,0.00021754390426003922,0.014749369622463166,-0.0009360565470211468,optimal,0.003946700016967952
13.0,0.0014075239928570057,0.0001372951546741084,0.011717301509908688,-0.0005151054874753011,optimal,0.0034067999804392457
20.0,0.0011612750430652723,0.0001061810047184141,0.010304416757799254,-9.946499588113131e-05,optimal,0.00350689998595044
32.0,0.0009486561095268546,8.898409941679984e-05,0.00943313836518896,0.00047508948114194285,optimal,0.003174400015268475
50.0,0.0008102485923859775,8.19042829794628e-05,0.009050098506616533,0.0012373584821005926,optimal,0.0032228000345639884
80.0,0.0007066539313273682,7.856536317613908e-05,0.008863710463239369,0.002435960595718195,optimal,0.0033200999605469406
125.0,0.0006409042000271522,7.721730856332682e-05,0.008787337967969983,0.004185177585180774,optimal,0.0033336999476887286
200.0,0.0005993941144511147,7.667666116141012e-05,0.008756521064978382,0.007068272001689897,optimal,0.0033874999498948455
320.0,0.0005808958042968168,7.652256529903287e-05,0.008747717719441618,0.011662714643548443,optimal,0.003292799985501915
500.0,0.0005715060801671507,7.64744109733886e-05,0.00874496489263328,0.01854709666318,optimal,0.0036737999762408435
800.0,0.0005652463358361867,7.64540704667469e-05,0.008743801831397308,0.03001638185086257,optimal,0.003307499981019646
1250.0,0.0005614906777205266,7.644637390102141e-05,0.008743361704803332,0.04721749301041786,optimal,0.003383499977644533
2000.0,0.0005589867344855804,7.644311637416451e-05,0.008743175417099014,0.07588412963967893,optimal,0.00326700002187863
3200.0,0.0005574191725891406,7.644184512730909e-05,0.00874310271741726,0.1217495330311054,optimal,0.003201399988029152
5000.0,0.0005564837213853669,7.64413637405767e-05,0.008743075187860203,0.1905469256300564,optimal,0.0033123999601230025
8000.0,0.0005558575901548449,7.644115896809296e-05,0.00874306347729976,0.305208778282217,optimal,0.003379400004632771
12000.0,0.0005555102081496963,7.644108823682608e-05,0.008743059432305494,0.4580910192128068,optimal,0.003240699996240437
20000.0,0.0005552319970042863,7.644104965589066e-05,0.008743057225930221,0.7638552645619023,optimal,0.0033334000036120415
